                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2563,                 2.1176,                 1.6286,                 0.3627,                0.29388,                0.21955,                0.07746,                 2.2119,                 3.3428,                 2.4325,             0.00066296,             0.00066296,             0.00066296
                      2,                 1.2989,                 1.8361,                 1.6343,                0.44345,                0.40408,                0.32992,                0.15141,                 1.8507,                 2.4991,                 2.0848,              0.0013033,              0.0013033,              0.0013033
                      3,                 1.2703,                 1.7624,                 1.6113,                 0.2906,                 0.3551,                0.22165,                0.09086,                 2.1379,                 3.1621,                 2.4122,              0.0019172,              0.0019172,              0.0019172
                      4,                 1.2503,                 1.7039,                 1.5992,                0.45936,                0.46122,                 0.3345,                0.13664,                 1.7573,                 2.3996,                 2.0108,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2208,                 1.6515,                 1.5758,                0.48663,                 0.4449,                0.39353,                0.17688,                 1.8172,                 2.3848,                 2.0547,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1836,                 1.6088,                 1.5503,                0.47996,                 0.4898,                 0.3791,                0.18538,                 1.6999,                 2.2888,                 1.9219,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1489,                 1.5721,                 1.5302,                0.45684,                0.48571,                0.38105,                0.18127,                 1.6812,                 2.2617,                 1.8745,               0.001802,               0.001802,               0.001802
                      8,                 1.1305,                  1.552,                 1.5213,                0.43475,                0.42449,                0.37264,                0.15626,                 1.6742,                 2.2768,                 1.8684,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1153,                 1.5073,                 1.5074,                0.47669,                0.48163,                 0.4168,                0.17962,                 1.7583,                 2.1901,                 1.8602,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0927,                 1.4747,                 1.4917,                0.58014,                0.46811,                0.46466,                0.22279,                 1.6398,                 2.0763,                 1.7925,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0845,                 1.4603,                 1.4886,                0.52812,                 0.5551,                0.51935,                0.24999,                 1.6462,                 1.9752,                 1.7957,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0622,                 1.4311,                 1.4764,                0.54004,                0.47923,                0.51112,                0.27263,                 1.6604,                  1.977,                 1.8726,               0.001604,               0.001604,               0.001604
                     13,                 1.0639,                 1.4111,                 1.4755,                0.50592,                0.54286,                0.48552,                0.25656,                 1.5393,                 1.9508,                 1.7282,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0546,                 1.3949,                 1.4661,                0.59891,                0.51837,                0.50964,                0.27436,                 1.4621,                 1.9345,                 1.6726,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0342,                  1.364,                 1.4549,                0.57524,                0.48571,                0.50934,                0.27848,                 1.6171,                 1.8468,                 1.8323,              0.0014852,              0.0014852,              0.0014852
