                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2563,                 2.1176,                 1.6286,                 0.3627,                0.29388,                0.21955,                0.07746,                 2.2119,                 3.3428,                 2.4325,             0.00066296,             0.00066296,             0.00066296
                      2,                 1.2864,                 1.8359,                 1.6272,                0.44989,                0.37721,                0.32668,                0.14828,                 1.8151,                 2.4937,                 2.0572,              0.0013165,              0.0013165,              0.0013165
                      3,                 1.2711,                  1.774,                 1.6191,                0.35716,                0.32245,                0.24076,                0.11559,                 2.0318,                 2.7677,                 2.2988,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.2577,                 1.7266,                 1.6077,                0.46521,                0.40816,                0.36759,                0.17144,                 1.7571,                 2.4687,                 1.9688,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2344,                 1.6693,                 1.5924,                0.31362,                0.32078,                0.26312,                 0.0995,                 1.9573,                 2.7023,                 2.1658,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1914,                 1.6314,                   1.56,                0.52273,                0.42916,                0.42312,                0.21638,                 1.5855,                  2.195,                 1.7888,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1678,                 1.6068,                 1.5498,                0.40783,                0.44898,                0.39369,                 0.1764,                 1.7617,                 2.1041,                 1.9007,               0.001901,               0.001901,               0.001901
                      8,                 1.1442,                  1.571,                 1.5267,                0.51482,                 0.4449,                0.42405,                0.18178,                 1.7285,                 2.1981,                 1.8941,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.126,                 1.5367,                 1.5198,                 0.4629,                0.54286,                0.45002,                0.21677,                 1.7673,                 2.0889,                 1.9082,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1065,                 1.4906,                 1.5056,                0.39477,                0.42449,                0.34369,                0.15066,                 1.6638,                 2.1645,                 1.8153,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0935,                 1.4724,                  1.497,                0.55916,                0.48571,                 0.4887,                0.25377,                 1.5471,                 1.9441,                  1.776,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0762,                 1.4618,                 1.4898,                 0.4807,                0.47755,                0.46994,                0.24083,                 1.5579,                 1.9316,                  1.737,               0.001802,               0.001802,               0.001802
                     13,                 1.0701,                 1.4296,                 1.4842,                0.52056,                0.57169,                0.51723,                 0.2615,                 1.6212,                 1.8953,                 1.8023,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0635,                 1.4245,                 1.4764,                0.48529,                0.44641,                0.40901,                0.21592,                 1.6685,                 2.2117,                 1.9097,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0495,                  1.388,                  1.468,                0.54071,                0.52245,                0.50339,                0.26267,                 1.5773,                 1.9744,                 1.7814,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0517,                 1.3863,                 1.4657,                0.56913,                0.52245,                0.50316,                 0.2519,                 1.6372,                 1.9562,                 1.8843,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0234,                 1.3644,                 1.4458,                 0.5826,                0.57541,                0.54113,                0.30262,                 1.4905,                 1.8129,                 1.7113,               0.001703,               0.001703,               0.001703
                     18,                 1.0338,                 1.3563,                 1.4567,                0.64812,                0.54694,                0.55149,                0.27071,                 1.6813,                 1.8477,                 1.8032,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0271,                 1.3388,                 1.4486,                0.58046,                0.54286,                0.53741,                0.29754,                 1.5477,                 1.7757,                 1.7992,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0228,                 1.3281,                 1.4368,                0.55325,                0.53061,                 0.5191,                0.28548,                 1.5262,                  1.752,                 1.7217,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0071,                  1.314,                 1.4343,                0.62293,                0.56327,                0.55602,                0.29628,                 1.5516,                  1.855,                 1.7276,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.9956,                 1.2959,                 1.4198,                0.61825,                0.55102,                0.57171,                0.32137,                 1.4827,                 1.7194,                  1.675,               0.001604,               0.001604,               0.001604
                     23,                0.99071,                 1.2812,                 1.4163,                0.56102,                0.51121,                0.50995,                0.27522,                 1.5829,                 1.9186,                 1.7883,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0006,                 1.2835,                  1.429,                0.65038,                0.59983,                0.60201,                 0.3432,                 1.3817,                 1.6748,                 1.6471,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.9875,                 1.2573,                 1.4171,                 0.5745,                0.58776,                 0.5713,                0.32495,                 1.4636,                 1.7503,                 1.6851,              0.0015446,              0.0015446,              0.0015446
                     26,                0.98705,                  1.239,                 1.4127,                0.60407,                0.55102,                0.57426,                0.32217,                  1.515,                 1.7041,                 1.6878,              0.0015248,              0.0015248,              0.0015248
                     27,                0.96993,                  1.236,                 1.4019,                0.57679,                0.59592,                 0.5812,                0.30151,                 1.4904,                 1.7948,                 1.7232,               0.001505,               0.001505,               0.001505
                     28,                0.97739,                 1.2171,                 1.4051,                0.57609,                0.58367,                0.56264,                0.31425,                 1.5172,                 1.6894,                 1.6905,              0.0014852,              0.0014852,              0.0014852
                     29,                0.96192,                 1.2039,                  1.393,                0.66296,                0.49796,                0.55641,                0.30964,                 1.4707,                  1.768,                 1.6824,              0.0014654,              0.0014654,              0.0014654
                     30,                0.96035,                 1.1808,                 1.3895,                0.62938,                0.57531,                0.60083,                0.32665,                 1.5044,                 1.6769,                  1.731,              0.0014456,              0.0014456,              0.0014456
                     31,                0.96277,                 1.1933,                 1.3934,                0.68754,                0.54286,                0.57307,                0.31375,                 1.5141,                 1.7491,                 1.7246,              0.0014258,              0.0014258,              0.0014258
                     32,                0.94453,                 1.1649,                 1.3808,                0.58649,                 0.5905,                0.57125,                0.32483,                 1.5434,                 1.6532,                 1.7506,               0.001406,               0.001406,               0.001406
                     33,                0.93759,                 1.1495,                 1.3669,                0.66068,                0.61194,                0.60066,                0.34348,                  1.478,                 1.6705,                 1.6713,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.9396,                  1.144,                 1.3613,                0.66858,                0.54694,                0.60049,                0.34356,                 1.4398,                 1.6299,                 1.6401,              0.0013664,              0.0013664,              0.0013664
                     35,                0.94077,                 1.1247,                 1.3664,                0.62316,                0.58367,                0.59431,                0.33256,                 1.4445,                 1.6894,                 1.6129,              0.0013466,              0.0013466,              0.0013466
                     36,                0.91837,                  1.119,                  1.362,                0.61482,                0.63265,                0.60911,                0.34641,                 1.4609,                 1.5994,                 1.6941,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.9301,                 1.0947,                 1.3637,                0.68991,                0.51837,                0.57617,                0.32119,                 1.4803,                 1.7159,                  1.698,               0.001307,               0.001307,               0.001307
                     38,                0.92392,                 1.0975,                 1.3591,                0.67565,                    0.6,                0.60854,                0.35825,                 1.4842,                 1.6647,                 1.6511,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.9088,                 1.0788,                 1.3496,                0.65692,                0.56327,                0.60971,                0.36095,                 1.4016,                 1.6811,                 1.6038,              0.0012674,              0.0012674,              0.0012674
                     40,                0.91247,                 1.0742,                 1.3457,                0.68424,                0.57551,                0.59889,                0.34207,                 1.4708,                 1.6503,                  1.697,              0.0012476,              0.0012476,              0.0012476
                     41,                0.91881,                  1.076,                 1.3475,                0.65873,                0.51837,                0.56129,                0.32382,                 1.5497,                 1.7589,                 1.7446,              0.0012278,              0.0012278,              0.0012278
                     42,                0.89868,                 1.0446,                 1.3326,                0.61681,                0.62415,                0.61751,                0.35312,                 1.4215,                 1.7022,                 1.6384,               0.001208,               0.001208,               0.001208
                     43,                0.89373,                 1.0601,                 1.3328,                0.74078,                0.55918,                0.59833,                 0.3246,                 1.5041,                 1.6881,                 1.7262,              0.0011882,              0.0011882,              0.0011882
                     44,                0.88671,                 1.0069,                 1.3215,                0.69594,                0.61224,                0.63758,                0.36835,                 1.4653,                  1.577,                 1.6423,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.8795,                 1.0144,                 1.3173,                0.67833,                0.57551,                0.60991,                0.35918,                 1.4652,                   1.65,                 1.6984,              0.0011486,              0.0011486,              0.0011486
                     46,                0.88673,                 1.0086,                 1.3163,                0.69463,                0.59421,                0.60129,                0.34694,                 1.5122,                 1.5836,                  1.726,              0.0011288,              0.0011288,              0.0011288
                     47,                0.87534,                0.99075,                 1.3136,                0.66903,                 0.5693,                0.59423,                0.35532,                  1.446,                 1.6065,                 1.6587,               0.001109,               0.001109,               0.001109
                     48,                0.87693,                0.99637,                 1.3152,                0.62786,                0.63356,                0.59457,                 0.3321,                 1.5121,                 1.6181,                 1.7217,              0.0010892,              0.0010892,              0.0010892
                     49,                0.87394,                0.97646,                 1.3085,                0.68557,                0.57846,                0.60129,                0.34357,                   1.45,                 1.7159,                  1.658,              0.0010694,              0.0010694,              0.0010694
                     50,                0.87073,                0.97312,                 1.3014,                0.70929,                0.58367,                0.61746,                0.35059,                 1.4449,                  1.643,                 1.6202,              0.0010496,              0.0010496,              0.0010496
                     51,                0.85496,                  0.947,                 1.2921,                0.67282,                0.60408,                0.60781,                0.35099,                 1.5569,                 1.6295,                 1.7433,              0.0010298,              0.0010298,              0.0010298
                     52,                0.85487,                0.93546,                 1.2916,                0.73635,                0.59277,                0.64127,                0.37475,                 1.5355,                 1.5615,                 1.7461,                0.00101,                0.00101,                0.00101
                     53,                0.85358,                0.93421,                 1.2937,                0.69508,                0.60478,                0.60588,                0.34432,                 1.5141,                 1.6971,                 1.6813,              0.0009902,              0.0009902,              0.0009902
                     54,                0.84447,                 0.9323,                  1.281,                0.70582,                0.54286,                0.58338,                0.34569,                 1.5543,                 1.6654,                 1.7577,              0.0009704,              0.0009704,              0.0009704
                     55,                0.84084,                 0.9171,                 1.2805,                0.64364,                0.61633,                0.60377,                0.34314,                 1.5623,                 1.7229,                 1.7514,              0.0009506,              0.0009506,              0.0009506
                     56,                0.84675,                0.90887,                  1.278,                0.66542,                0.64898,                0.65796,                0.37543,                 1.5295,                  1.584,                 1.7648,              0.0009308,              0.0009308,              0.0009308
                     57,                0.83478,                0.89854,                 1.2724,                0.79502,                0.53469,                0.62008,                 0.3717,                 1.4959,                 1.6208,                 1.6908,               0.000911,               0.000911,               0.000911
                     58,                0.81456,                0.87792,                 1.2557,                0.69821,                0.62449,                0.64742,                0.36943,                 1.5252,                  1.556,                 1.7382,              0.0008912,              0.0008912,              0.0008912
                     59,                0.82976,                 0.8879,                 1.2712,                0.70938,                0.57959,                0.61315,                0.36138,                 1.5127,                 1.6647,                 1.7259,              0.0008714,              0.0008714,              0.0008714
                     60,                0.81897,                0.87218,                 1.2569,                0.71992,                0.57959,                0.63722,                0.36938,                 1.5402,                  1.572,                 1.7444,              0.0008516,              0.0008516,              0.0008516
                     61,                0.81679,                0.86607,                 1.2478,                0.70839,                    0.6,                0.62709,                0.35466,                 1.5375,                 1.6045,                 1.7333,              0.0008318,              0.0008318,              0.0008318
